,healthy,multiple_diseases,rust,scab,class,image_id
1017,1,0,0,0,0,Train_1017
1801,0,0,0,1,3,Train_1801
644,1,0,0,0,0,Train_644
1578,0,0,1,0,2,Train_1578
774,1,0,0,0,0,Train_774
917,0,0,0,1,3,Train_917
537,1,0,0,0,0,Train_537
363,0,1,0,0,1,Train_363
1445,0,0,0,1,3,Train_1445
378,1,0,0,0,0,Train_378
1117,1,0,0,0,0,Train_1117
699,0,0,0,1,3,Train_699
217,0,0,0,1,3,Train_217
737,1,0,0,0,0,Train_737
1804,0,0,0,1,3,Train_1804
95,0,1,0,0,1,Train_95
1624,0,0,1,0,2,Train_1624
1675,1,0,0,0,0,Train_1675
678,1,0,0,0,0,Train_678
1672,1,0,0,0,0,Train_1672
949,0,1,0,0,1,Train_949
1595,0,0,1,0,2,Train_1595
1717,0,0,0,1,3,Train_1717
1567,0,0,1,0,2,Train_1567
414,0,0,0,1,3,Train_414
934,1,0,0,0,0,Train_934
197,0,0,0,1,3,Train_197
1276,0,0,0,1,3,Train_1276
1079,1,0,0,0,0,Train_1079
37,0,0,1,0,2,Train_37
1470,0,0,0,1,3,Train_1470
1491,0,0,1,0,2,Train_1491
1185,0,0,1,0,2,Train_1185
1244,0,0,1,0,2,Train_1244
373,1,0,0,0,0,Train_373
477,0,0,0,1,3,Train_477
1059,0,0,0,1,3,Train_1059
203,0,0,0,1,3,Train_203
568,0,0,0,1,3,Train_568
398,0,0,0,1,3,Train_398
1496,1,0,0,0,0,Train_1496
518,0,0,1,0,2,Train_518
1472,0,0,1,0,2,Train_1472
1374,0,0,1,0,2,Train_1374
258,0,0,0,1,3,Train_258
976,0,0,1,0,2,Train_976
1802,0,0,1,0,2,Train_1802
1381,1,0,0,0,0,Train_1381
1780,0,1,0,0,1,Train_1780
637,1,0,0,0,0,Train_637
1354,1,0,0,0,0,Train_1354
914,1,0,0,0,0,Train_914
399,0,1,0,0,1,Train_399
563,0,1,0,0,1,Train_563
1231,0,0,1,0,2,Train_1231
754,0,1,0,0,1,Train_754
1175,0,0,1,0,2,Train_1175
1593,1,0,0,0,0,Train_1593
1797,0,0,1,0,2,Train_1797
74,0,1,0,0,1,Train_74
1130,0,0,0,1,3,Train_1130
379,0,0,0,1,3,Train_379
439,1,0,0,0,0,Train_439
828,0,0,1,0,2,Train_828
902,0,0,0,1,3,Train_902
237,0,1,0,0,1,Train_237
544,1,0,0,0,0,Train_544
726,0,0,1,0,2,Train_726
240,0,0,1,0,2,Train_240
631,0,0,0,1,3,Train_631
1037,0,0,1,0,2,Train_1037
