,Unnamed: 0,healthy,multiple_diseases,rust,scab,class,image_id
0,1017,1,0,0,0,0,Train_1017
1,1801,0,0,0,1,3,Train_1801
2,644,1,0,0,0,0,Train_644
3,1578,0,0,1,0,2,Train_1578
4,774,1,0,0,0,0,Train_774
5,917,0,0,0,1,3,Train_917
6,537,1,0,0,0,0,Train_537
7,363,0,1,0,0,1,Train_363
8,1445,0,0,0,1,3,Train_1445
9,378,1,0,0,0,0,Train_378
10,1117,1,0,0,0,0,Train_1117
11,699,0,0,0,1,3,Train_699
12,217,0,0,0,1,3,Train_217
13,737,1,0,0,0,0,Train_737
14,1804,0,0,0,1,3,Train_1804
15,95,0,1,0,0,1,Train_95
16,1624,0,0,1,0,2,Train_1624
17,1675,1,0,0,0,0,Train_1675
18,678,1,0,0,0,0,Train_678
19,1672,1,0,0,0,0,Train_1672
20,949,0,1,0,0,1,Train_949
21,1595,0,0,1,0,2,Train_1595
22,1717,0,0,0,1,3,Train_1717
23,1567,0,0,1,0,2,Train_1567
24,414,0,0,0,1,3,Train_414
25,934,1,0,0,0,0,Train_934
26,197,0,0,0,1,3,Train_197
27,1276,0,0,0,1,3,Train_1276
28,1079,1,0,0,0,0,Train_1079
29,37,0,0,1,0,2,Train_37
30,1470,0,0,0,1,3,Train_1470
31,1491,0,0,1,0,2,Train_1491
32,1185,0,0,1,0,2,Train_1185
33,1244,0,0,1,0,2,Train_1244
34,373,1,0,0,0,0,Train_373
35,477,0,0,0,1,3,Train_477
36,1059,0,0,0,1,3,Train_1059
37,203,0,0,0,1,3,Train_203
38,568,0,0,0,1,3,Train_568
39,398,0,0,0,1,3,Train_398
40,1496,1,0,0,0,0,Train_1496
41,518,0,0,1,0,2,Train_518
42,1472,0,0,1,0,2,Train_1472
43,1374,0,0,1,0,2,Train_1374
44,258,0,0,0,1,3,Train_258
45,976,0,0,1,0,2,Train_976
46,1802,0,0,1,0,2,Train_1802
47,1381,1,0,0,0,0,Train_1381
48,1780,0,1,0,0,1,Train_1780
49,637,1,0,0,0,0,Train_637
50,1354,1,0,0,0,0,Train_1354
51,914,1,0,0,0,0,Train_914
52,399,0,1,0,0,1,Train_399
53,563,0,1,0,0,1,Train_563
54,1231,0,0,1,0,2,Train_1231
55,754,0,1,0,0,1,Train_754
56,1175,0,0,1,0,2,Train_1175
57,1593,1,0,0,0,0,Train_1593
58,1797,0,0,1,0,2,Train_1797
59,74,0,1,0,0,1,Train_74
60,1130,0,0,0,1,3,Train_1130
61,379,0,0,0,1,3,Train_379
62,439,1,0,0,0,0,Train_439
63,828,0,0,1,0,2,Train_828
64,902,0,0,0,1,3,Train_902
65,237,0,1,0,0,1,Train_237
66,544,1,0,0,0,0,Train_544
67,726,0,0,1,0,2,Train_726
68,240,0,0,1,0,2,Train_240
69,631,0,0,0,1,3,Train_631
70,1037,0,0,1,0,2,Train_1037
71,285,0,0,1,0,2,Train_285
72,961,1,0,0,0,0,Train_961
73,1225,0,0,1,0,2,Train_1225
74,839,1,0,0,0,0,Train_839
75,913,0,0,1,0,2,Train_913
76,489,0,0,0,1,3,Train_489
77,235,0,0,0,1,3,Train_235
78,1512,0,0,1,0,2,Train_1512
79,830,0,0,1,0,2,Train_830
80,514,0,0,1,0,2,Train_514
81,972,0,0,0,1,3,Train_972
82,159,0,0,1,0,2,Train_159
83,1695,0,0,1,0,2,Train_1695
84,136,1,0,0,0,0,Train_136
85,1327,0,0,1,0,2,Train_1327
86,1393,0,0,0,1,3,Train_1393
87,736,0,0,0,1,3,Train_736
88,224,1,0,0,0,0,Train_224
89,273,1,0,0,0,0,Train_273
90,1035,0,1,0,0,1,Train_1035
91,250,0,0,0,1,3,Train_250
92,669,0,0,0,1,3,Train_669
93,72,1,0,0,0,0,Train_72
94,1537,0,0,0,1,3,Train_1537
95,34,0,0,1,0,2,Train_34
96,1406,0,0,1,0,2,Train_1406
97,1422,0,0,1,0,2,Train_1422
98,1698,1,0,0,0,0,Train_1698
99,1251,1,0,0,0,0,Train_1251
100,1661,1,0,0,0,0,Train_1661
101,1269,0,0,0,1,3,Train_1269
102,276,0,0,0,1,3,Train_276
103,354,0,0,0,1,3,Train_354
104,262,0,0,0,1,3,Train_262
105,451,0,0,1,0,2,Train_451
106,406,1,0,0,0,0,Train_406
107,851,0,0,0,1,3,Train_851
108,359,1,0,0,0,0,Train_359
109,798,0,0,1,0,2,Train_798
110,874,0,0,1,0,2,Train_874
111,1187,0,0,1,0,2,Train_1187
112,28,0,0,0,1,3,Train_28
113,1287,1,0,0,0,0,Train_1287
114,656,0,0,1,0,2,Train_656
115,703,1,0,0,0,0,Train_703
116,692,0,0,0,1,3,Train_692
117,1094,0,0,0,1,3,Train_1094
118,1759,0,0,0,1,3,Train_1759
119,557,0,0,1,0,2,Train_557
120,1346,0,0,0,1,3,Train_1346
121,1468,0,1,0,0,1,Train_1468
122,552,0,0,0,1,3,Train_552
123,1559,1,0,0,0,0,Train_1559
124,1803,1,0,0,0,0,Train_1803
125,459,0,0,0,1,3,Train_459
126,547,1,0,0,0,0,Train_547
127,1164,1,0,0,0,0,Train_1164
128,1151,1,0,0,0,0,Train_1151
129,963,1,0,0,0,0,Train_963
130,1587,1,0,0,0,0,Train_1587
131,614,0,0,0,1,3,Train_614
132,1004,1,0,0,0,0,Train_1004
133,185,0,0,0,1,3,Train_185
134,1457,1,0,0,0,0,Train_1457
135,247,1,0,0,0,0,Train_247
136,719,0,0,1,0,2,Train_719
137,561,0,0,0,1,3,Train_561
138,297,0,0,0,1,3,Train_297
139,808,0,0,0,1,3,Train_808
140,12,0,0,0,1,3,Train_12
141,1322,0,0,1,0,2,Train_1322
142,1814,1,0,0,0,0,Train_1814
143,1739,0,0,0,1,3,Train_1739
144,790,0,0,1,0,2,Train_790
145,985,0,0,1,0,2,Train_985
146,696,0,0,0,1,3,Train_696
147,1291,0,0,1,0,2,Train_1291
148,1776,1,0,0,0,0,Train_1776
149,1294,0,0,0,1,3,Train_1294
150,1740,0,0,1,0,2,Train_1740
151,841,0,0,1,0,2,Train_841
152,112,0,0,0,1,3,Train_112
153,1632,0,0,0,1,3,Train_1632
154,430,1,0,0,0,0,Train_430
155,1664,0,1,0,0,1,Train_1664
156,316,0,0,0,1,3,Train_316
157,1682,1,0,0,0,0,Train_1682
158,1596,0,0,1,0,2,Train_1596
159,603,1,0,0,0,0,Train_603
160,1083,0,0,0,1,3,Train_1083
161,499,0,0,1,0,2,Train_499
162,25,0,1,0,0,1,Train_25
163,899,0,0,0,1,3,Train_899
164,506,0,0,1,0,2,Train_506
165,314,0,0,1,0,2,Train_314
166,303,0,0,0,1,3,Train_303
167,1321,0,0,1,0,2,Train_1321
168,1779,0,1,0,0,1,Train_1779
169,227,1,0,0,0,0,Train_227
170,889,0,0,1,0,2,Train_889
171,888,0,0,1,0,2,Train_888
172,898,0,0,0,1,3,Train_898
173,475,1,0,0,0,0,Train_475
174,1101,1,0,0,0,0,Train_1101
175,178,0,0,1,0,2,Train_178
176,457,0,0,0,1,3,Train_457
177,1723,1,0,0,0,0,Train_1723
178,1771,0,0,1,0,2,Train_1771
179,223,0,0,1,0,2,Train_223
180,908,1,0,0,0,0,Train_908
181,191,0,0,0,1,3,Train_191
182,1566,0,0,1,0,2,Train_1566
183,1390,0,1,0,0,1,Train_1390
184,954,0,0,0,1,3,Train_954
185,1565,0,0,1,0,2,Train_1565
186,1492,0,0,1,0,2,Train_1492
187,60,0,0,1,0,2,Train_60
188,1772,0,0,1,0,2,Train_1772
189,520,0,0,0,1,3,Train_520
190,1805,0,0,1,0,2,Train_1805
191,1594,0,0,1,0,2,Train_1594
192,560,0,0,1,0,2,Train_560
193,1228,0,0,0,1,3,Train_1228
194,1616,1,0,0,0,0,Train_1616
195,1339,0,0,0,1,3,Train_1339
196,89,0,0,1,0,2,Train_89
197,234,0,0,0,1,3,Train_234
198,623,0,0,1,0,2,Train_623
199,519,0,0,1,0,2,Train_519
200,358,0,0,0,1,3,Train_358
201,106,0,0,0,1,3,Train_106
202,341,0,0,1,0,2,Train_341
203,1040,0,0,1,0,2,Train_1040
204,1329,0,0,0,1,3,Train_1329
205,469,0,0,1,0,2,Train_469
206,1746,0,0,1,0,2,Train_1746
207,320,1,0,0,0,0,Train_320
208,492,0,0,1,0,2,Train_492
209,1395,0,0,0,1,3,Train_1395
210,1082,1,0,0,0,0,Train_1082
211,282,1,0,0,0,0,Train_282
212,306,0,1,0,0,1,Train_306
213,551,1,0,0,0,0,Train_551
214,1211,0,0,0,1,3,Train_1211
215,681,0,0,0,1,3,Train_681
216,3,0,0,1,0,2,Train_3
217,1793,0,0,0,1,3,Train_1793
218,1143,0,0,0,1,3,Train_1143
219,1248,1,0,0,0,0,Train_1248
220,818,0,0,0,1,3,Train_818
221,840,0,0,1,0,2,Train_840
222,1161,0,1,0,0,1,Train_1161
223,787,0,0,0,1,3,Train_787
224,1747,0,0,0,1,3,Train_1747
