,loss,val_loss,recall,val_recall,precision,val_precision
0,1.4887463338902756,1.3791879232819766,"[0.24848485, 0.29943502, 0.2770781, 0.38359788]","[0.22891566, 0.71428573, 0.24, 0.22105263]","[0.28178695, 0.28961748, 0.28947368, 0.34360188]","[0.41304347, 0.073529415, 0.35820895, 0.4883721]"
1,1.4602492047473787,1.2579864453371257,"[0.27575758, 0.29943502, 0.28463477, 0.35714287]","[0.3192771, 0.5714286, 0.285, 0.4526316]","[0.30743244, 0.30329043, 0.28900257, 0.3195266]","[0.51960784, 0.093023255, 0.4871795, 0.44559586]"
2,1.3427474033223576,1.0717518220927957,"[0.28484848, 0.33804142, 0.3324937, 0.37477955]","[0.37751004, 0.45238096, 0.39, 0.5368421]","[0.32413793, 0.33614233, 0.3319363, 0.34109148]","[0.54022986, 0.1027027, 0.5735294, 0.4888179]"
3,1.2219881860360706,0.898242834759302,"[0.3121212, 0.35310733, 0.38224182, 0.40145501]","[0.43975905, 0.4107143, 0.48, 0.52894735]","[0.34390652, 0.35714287, 0.37842894, 0.37148103]","[0.5367647, 0.10798122, 0.6552901, 0.5153846]"
4,1.1494939992924595,0.7174827790071728,"[0.3369697, 0.36892655, 0.43123427, 0.42539683]","[0.52771086, 0.35714287, 0.548, 0.52842104]","[0.36363637, 0.37680322, 0.42864296, 0.39489195]","[0.54477614, 0.11312217, 0.72105265, 0.54923415]"
5,1.0076602745856496,0.8263270262735093,"[0.37676767, 0.37193975, 0.47691017, 0.45767197]","[0.51004016, 0.32142857, 0.595, 0.56666666]","[0.394709, 0.39401495, 0.47551277, 0.4202429]","[0.5521739, 0.115879826, 0.76282054, 0.5465313]"
6,0.9302018137272345,0.6347189304508167,"[0.4069264, 0.37691686, 0.51961136, 0.47581255]","[0.5714286, 0.3265306, 0.6314286, 0.55789477]","[0.41777778, 0.40679443, 0.51516235, 0.43959498]","[0.56558776, 0.12648222, 0.7963964, 0.5716487]"
7,0.8587991948630745,0.5124709660519068,"[0.4401515, 0.38418078, 0.55541563, 0.49470899]","[0.6159639, 0.33035713, 0.6675, 0.5842105]","[0.44385028, 0.42105263, 0.54901963, 0.4593184]","[0.59534204, 0.13909775, 0.8202765, 0.60655737]"
8,0.8198091578141459,0.5396065546394236,"[0.46329966, 0.3970496, 0.58466274, 0.5117578]","[0.63319945, 0.33333334, 0.70111114, 0.5964912]","[0.46470788, 0.43485734, 0.5762759, 0.4788229]","[0.6166884, 0.14634146, 0.8390958, 0.620438]"
9,0.7427724306998971,0.5357977021549356,"[0.4918182, 0.40621468, 0.6098237, 0.5306878]","[0.65903616, 0.34285715, 0.717, 0.6168421]","[0.486365, 0.4492346, 0.5991091, 0.50012463]","[0.63752913, 0.15789473, 0.85255647, 0.63904035]"
10,0.7125897777456043,0.5068620311507751,"[0.5137741, 0.42064714, 0.6326998, 0.54834056]","[0.67360353, 0.37012988, 0.7409091, 0.6258373]","[0.5066558, 0.46547315, 0.6195067, 0.5194805]","[0.65217394, 0.17378049, 0.85699266, 0.6606061]"
11,0.6879045996167505,0.5202793819408813,"[0.53333336, 0.4274953, 0.6502939, 0.5650353]","[0.6947791, 0.39880952, 0.755, 0.6315789]","[0.5248509, 0.4756417, 0.634446, 0.5358561]","[0.66474545, 0.18767507, 0.8686481, 0.6773283]"
12,0.6025684897416562,0.4256985919842694,"[0.55314684, 0.44176444, 0.6682813, 0.57977206]","[0.71269697, 0.4065934, 0.7723077, 0.63481784]","[0.5430206, 0.49130014, 0.6511233, 0.55191785]","[0.6722028, 0.19786096, 0.87609076, 0.6925795]"
13,0.5964271289737125,0.5091845426291438,"[0.56926405, 0.45379338, 0.68297946, 0.59542704]","[0.7125645, 0.4234694, 0.7864286, 0.6398496]","[0.558861, 0.5060756, 0.66410077, 0.5667266]","[0.6809211, 0.20293398, 0.87659234, 0.70505387]"
14,0.5911638012349119,0.5930381971120369,"[0.5840404, 0.46873823, 0.6950462, 0.60564375]","[0.7180723, 0.45238096, 0.78533334, 0.6463158]","[0.5708926, 0.5204935, 0.6763072, 0.58016557]","[0.6935609, 0.20084566, 0.8830585, 0.71728975]"
15,0.5206485272456545,0.4406322796194342,"[0.5994318, 0.4832274, 0.7062343, 0.6182209]","[0.72740966, 0.4732143, 0.790625, 0.65394735]","[0.5866543, 0.53467476, 0.6872989, 0.59320956]","[0.7, 0.20866142, 0.8895921, 0.7298091]"
16,0.5222120721020125,0.4146361858648656,"[0.61229944, 0.49567962, 0.7165506, 0.6296296]","[0.73990077, 0.47058824, 0.8011765, 0.6594427]","[0.59843206, 0.5478421, 0.6973324, 0.6054167]","[0.70731705, 0.21333334, 0.8925295, 0.7411274]"
17,0.4934069026740651,0.34391892770668475,"[0.6257576, 0.5061205, 0.72600055, 0.6405056]","[0.75100404, 0.48015872, 0.8105556, 0.66725147]","[0.6097441, 0.5592162, 0.7067157, 0.61745536]","[0.71374047, 0.22324723, 0.89784616, 0.75214237]"
18,0.44790118490595865,0.5296902487048287,"[0.638118, 0.51769257, 0.7351186, 0.6505152]","[0.7558656, 0.49624062, 0.81421053, 0.6725762]","[0.6216594, 0.5708197, 0.71548384, 0.6283793]","[0.72198665, 0.22525597, 0.90204084, 0.76065165]"
19,0.4720000808294937,0.35840195858526547,"[0.6490909, 0.52754235, 0.74219143, 0.6596561]","[0.75963855, 0.50714284, 0.8215, 0.6810526]","[0.63213813, 0.57978886, 0.7236002, 0.63796854]","[0.7293233, 0.23240589, 0.9062328, 0.7670421]"
20,0.4542046830833868,0.39207420226383166,"[0.65815294, 0.5369922, 0.74943024, 0.6684303]","[0.7682157, 0.5136054, 0.82857144, 0.68421054]","[0.64113015, 0.5885301, 0.73101676, 0.647468]","[0.7332968, 0.23892406, 0.91004187, 0.7746878]"
21,0.3939071522312256,0.3718014096068569,"[0.668595, 0.5484078, 0.75681245, 0.67700815]","[0.7694414, 0.51623374, 0.83272725, 0.69473684]","[0.651194, 0.59960693, 0.73846495, 0.65694284]","[0.7394737, 0.24537037, 0.9132602, 0.7764706]"
22,0.44454647655504864,0.37527951940693094,"[0.67799735, 0.5556374, 0.7626766, 0.6849551]","[0.7705605, 0.51863354, 0.83913046, 0.70251715]","[0.659659, 0.6071668, 0.7440966, 0.6656606]","[0.7436805, 0.2526475, 0.9125295, 0.7823649]"
23,0.4107457629865175,0.4275601582961054,"[0.68560606, 0.56344163, 0.7677372, 0.6938933]","[0.77158636, 0.51785713, 0.84375, 0.70877194]","[0.6674041, 0.6148215, 0.7494109, 0.67448837]","[0.7504883, 0.25290698, 0.91175145, 0.7879083]"
24,0.39176804903563356,0.31101087466321253,"[0.69357574, 0.57039547, 0.773602, 0.70126987]","[0.77686745, 0.52, 0.8472, 0.7157895]","[0.67436653, 0.62259495, 0.7547429, 0.6825626]","[0.7564524, 0.25706214, 0.91450775, 0.7925408]"
25,0.38346771213681713,0.35002144891614206,"[0.7016317, 0.5781182, 0.7782407, 0.70767194]","[0.7845227, 0.51648355, 0.8515385, 0.71862346]","[0.6825397, 0.62948066, 0.75976545, 0.689433]","[0.75885254, 0.2596685, 0.91714996, 0.79847056]"
26,0.3489029073726707,0.36056557319335136,"[0.7092031, 0.586629, 0.7835619, 0.71457964]","[0.78848726, 0.521164, 0.8559259, 0.7220273]","[0.68969655, 0.63788396, 0.76542425, 0.6966947]","[0.76427335, 0.2623169, 0.9192522, 0.8027742]"
27,0.3503191921489105,0.24996633602737123,"[0.71590906, 0.59433013, 0.7879633, 0.72118294]","[0.79432017, 0.5255102, 0.8592857, 0.72969925]","[0.6967558, 0.6447412, 0.7702929, 0.7035023]","[0.7698082, 0.2689295, 0.921486, 0.80841315]"
