,loss,val_loss,recall,val_recall,precision,val_precision
0,1.4474430393308537,1.2663070410490036,"[0.26969698, 0.3983051, 0.28463477, 0.2936508]","[0.5180723, 0.5, 0.53, 0.094736844]","[0.3503937, 0.31756756, 0.2817955, 0.30833334]","[0.5375, 0.109375, 0.4140625, 0.45]"
1,1.4630642840273032,1.233921649317219,"[0.27424243, 0.39265537, 0.29596978, 0.26984128]","[0.4939759, 0.39285713, 0.54, 0.23684211]","[0.33211008, 0.32821724, 0.28143713, 0.2952243]","[0.5578231, 0.10784314, 0.43548387, 0.51724136]"
2,1.4135221926248782,1.2114580572672087,"[0.28585857, 0.39265537, 0.29722923, 0.28659612]","[0.4618474, 0.30952382, 0.45666668, 0.3859649]","[0.33690476, 0.34264585, 0.28525382, 0.30120483]","[0.5927835, 0.088435374, 0.4536424, 0.472103]"
3,1.3529036818505966,1.216213137166549,"[0.3037879, 0.39124295, 0.30667508, 0.3227513]","[0.4698795, 0.39285713, 0.42, 0.4]","[0.35021833, 0.35107732, 0.299508, 0.32817754]","[0.5693431, 0.097345136, 0.47457626, 0.48407644]"
4,1.3093695053864765,1.3932307766214624,"[0.30969697, 0.399435, 0.3274559, 0.34285715]","[0.44819278, 0.47142857, 0.454, 0.33894736]","[0.3538781, 0.36293635, 0.32067093, 0.34541577]","[0.5867508, 0.09792285, 0.47991544, 0.4834835]"
5,1.2851721309393338,1.0856174359174624,"[0.32676768, 0.4124294, 0.34005037, 0.35405645]","[0.49196786, 0.41666666, 0.45166665, 0.35263157]","[0.36761364, 0.37564322, 0.33305922, 0.3600897]","[0.5697674, 0.09803922, 0.4856631, 0.4938575]"
6,1.2747058928182953,1.1314815841742778,"[0.33549783, 0.42453593, 0.3490464, 0.36130008]","[0.4939759, 0.36734694, 0.4542857, 0.3924812]","[0.3724171, 0.3879056, 0.3407095, 0.3715507]","[0.5694444, 0.09022556, 0.50157726, 0.5147929]"
7,1.2304678608786705,1.2722216330162466,"[0.3469697, 0.43608758, 0.35673803, 0.37599206]","[0.4503012, 0.39285713, 0.46625, 0.3986842]","[0.38246346, 0.39967638, 0.35164493, 0.38347387]","[0.57389635, 0.09053498, 0.4927345, 0.5297203]"
8,1.187502728281415,1.005688005930757,"[0.36228955, 0.4460138, 0.36495942, 0.38859496]","[0.44444445, 0.36507937, 0.49555555, 0.41403508]","[0.39327484, 0.410101, 0.36081904, 0.3986731]","[0.5773913, 0.09163347, 0.49445677, 0.54545456]"
9,1.112713522298185,1.0703200483790356,"[0.37424242, 0.46129945, 0.3836272, 0.40079364]","[0.44698796, 0.3642857, 0.513, 0.42736843]","[0.40558293, 0.4251497, 0.37772816, 0.4125817]","[0.5815047, 0.09357798, 0.506917, 0.56]"
10,1.068586296784228,1.045595226740264,"[0.39118457, 0.46944016, 0.39752692, 0.4148629]","[0.43154436, 0.35064936, 0.5427273, 0.44688997]","[0.42024267, 0.43544546, 0.39231637, 0.42624167]","[0.5907046, 0.09342561, 0.51688313, 0.57512313]"
11,0.9897222199781318,0.8475249941283723,"[0.4088384, 0.47716573, 0.41624686, 0.42879188]","[0.437751, 0.35119048, 0.56583333, 0.46842104]","[0.43311933, 0.446771, 0.4111549, 0.44104308]","[0.6030429, 0.09784412, 0.533805, 0.589404]"
12,0.9232988401697778,0.7480280685967332,"[0.42540792, 0.4858757, 0.43596202, 0.44505495]","[0.46709916, 0.36813188, 0.5792308, 0.48178136]","[0.44566545, 0.45904332, 0.4308694, 0.45762712]","[0.61463416, 0.10339506, 0.556541, 0.61025643]"
13,0.8982086292944835,0.7826896702313767,"[0.4365801, 0.49636805, 0.45304066, 0.4610733]","[0.48450947, 0.3622449, 0.57928574, 0.5045113]","[0.45757714, 0.46919703, 0.44892138, 0.472319]","[0.6159738, 0.10725076, 0.5735502, 0.6111111]"
14,0.8249772483812535,0.8155912638969113,"[0.45232323, 0.5037665, 0.46834594, 0.47689596]","[0.5036145, 0.37619048, 0.586, 0.5129824]","[0.47057587, 0.47827643, 0.46584266, 0.48747072]","[0.62326044, 0.10941828, 0.59231806, 0.62585616]"
15,0.7838016530818339,0.7561741339193087,"[0.46704546, 0.5143008, 0.48299748, 0.4909061]","[0.5316265, 0.39732143, 0.59375, 0.51842105]","[0.48211142, 0.49023896, 0.48307353, 0.50016844]","[0.6258865, 0.11756935, 0.6101477, 0.6406504]"
