,loss,val_loss,recall,val_recall,precision,val_precision
0,1.3896348742039308,1.361623144071353,"[0.23333333, 0.121468924, 0.52644837, 0.105820104]","[0.0, 0.0, 0.96, 0.05263158]","[0.22190201, 0.24855492, 0.26898327, 0.24691358]","[0.0, 0.0, 0.34163702, 0.45454547]"
1,1.3891111340481734,1.3773399971817668,"[0.35, 0.060734462, 0.5251889, 0.052910052]","[0.0, 0.0, 0.98, 0.02631579]","[0.22126436, 0.24855492, 0.27095518, 0.24691358]","[0.0, 0.0, 0.34205934, 0.45454547]"
2,1.3835556530056226,1.3549495657023631,"[0.33838382, 0.0772128, 0.5524769, 0.037037037]","[0.11646587, 0.0, 0.94666666, 0.01754386]","[0.23393854, 0.24550898, 0.26945126, 0.24852072]","[0.61702126, 0.0, 0.34718826, 0.45454547]"
3,1.3568184349173005,1.2904001119497575,"[0.35, 0.09392656, 0.5415617, 0.065476194]","[0.25903615, 0.035714287, 0.715, 0.14210527]","[0.2562396, 0.2703252, 0.27163613, 0.264]","[0.44559586, 0.0625, 0.34878048, 0.4390244]"
4,1.3265846079701316,1.284530594748886,"[0.37151515, 0.118079096, 0.47355163, 0.15449736]","[0.33012047, 0.17142858, 0.584, 0.15157895]","[0.28327173, 0.28907332, 0.27622685, 0.29054725]","[0.44771242, 0.08219178, 0.34597155, 0.4390244]"
5,1.3142284761871332,1.2997596667785394,"[0.39141414, 0.1539548, 0.42443326, 0.19532628]","[0.39156628, 0.22619048, 0.505, 0.14385965]","[0.30249804, 0.2967332, 0.27713814, 0.3072122]","[0.44827586, 0.073076926, 0.34510252, 0.45810056]"
6,1.2743155321619217,1.3423230292177515,"[0.4121212, 0.1953188, 0.39366677, 0.23053665]","[0.35628226, 0.26530612, 0.45285714, 0.21954887]","[0.32238403, 0.32636547, 0.2797954, 0.32672736]","[0.46205357, 0.07471264, 0.3475877, 0.43452382]"
7,1.2666827531369484,1.2528126119194847,"[0.42348486, 0.22210452, 0.37846348, 0.2556217]","[0.37048194, 0.32142857, 0.40375, 0.26052633]","[0.33817303, 0.34036797, 0.28382528, 0.33858958]","[0.48235294, 0.07860262, 0.35032538, 0.44394618]"
8,1.2391291746660473,1.161450548587661,"[0.43063974, 0.26051477, 0.36328015, 0.27748382]","[0.3922356, 0.33333334, 0.40222222, 0.29239765]","[0.35195377, 0.35760447, 0.28921568, 0.35119048]","[0.50343645, 0.08235294, 0.36455187, 0.46040517]"
9,1.1978993192652536,1.1590121477646262,"[0.4390909, 0.2940678, 0.35491183, 0.29444444]","[0.3987952, 0.34285715, 0.387, 0.3263158]","[0.36379614, 0.37486497, 0.29644436, 0.36171594]","[0.5147745, 0.08510638, 0.37068966, 0.4633782]"
10,1.1584393359464256,1.1064041352977878,"[0.44435263, 0.3210067, 0.3510419, 0.30928332]","[0.42825848, 0.34415585, 0.37818182, 0.34832537]","[0.37476766, 0.3886816, 0.3037448, 0.36932796]","[0.5220294, 0.08907563, 0.37990868, 0.47089264]"
11,1.1386946056888478,1.1821491373702884,"[0.45126262, 0.34439737, 0.34907642, 0.32473546]","[0.44477913, 0.36309522, 0.37, 0.35877192]","[0.3857112, 0.4018127, 0.3110737, 0.37885803]","[0.52488154, 0.091454275, 0.38743454, 0.48288074]"
12,1.1157927870365751,1.0696547846554925,"[0.45897436, 0.36875272, 0.34702578, 0.33618233]","[0.45134383, 0.35164836, 0.38307694, 0.37327936]","[0.3955404, 0.4154223, 0.31868327, 0.38562092]","[0.53516483, 0.09356725, 0.3964968, 0.487315]"
13,1.1172465174104613,1.1852011038970791,"[0.4642857, 0.38882163, 0.34868658, 0.34863946]","[0.46041307, 0.3622449, 0.385, 0.37443608]","[0.40464064, 0.4286032, 0.3257143, 0.39431503]","[0.5398587, 0.09354414, 0.40465465, 0.4950298]"
14,1.0818434205324645,1.1815631795968664,"[0.4670707, 0.41016948, 0.35079765, 0.35485008]","[0.47148594, 0.37142858, 0.37533334, 0.37614036]","[0.41270974, 0.44133738, 0.33069494, 0.3999205]","[0.5360731, 0.09363745, 0.40945455, 0.49767873]"
15,1.044153651142024,1.1798256160446297,"[0.47386363, 0.4290254, 0.35516372, 0.36541006]","[0.47364458, 0.375, 0.3725, 0.3881579]","[0.42213598, 0.4527669, 0.33909515, 0.40948674]","[0.54084265, 0.09448819, 0.41562065, 0.4974705]"
16,1.0352023241457704,1.1136994141301042,"[0.47575757, 0.44649386, 0.35901615, 0.3739496]","[0.48334515, 0.3739496, 0.38117647, 0.3882353]","[0.42882392, 0.46192196, 0.34668764, 0.41624805]","[0.5408406, 0.09663409, 0.4229765, 0.5016]"
17,1.0168454116649008,1.1142157686531151,"[0.47946128, 0.4639046, 0.36188078, 0.38389182]","[0.48594376, 0.37301588, 0.37944445, 0.40467837]","[0.43567386, 0.47333866, 0.35361683, 0.42354468]","[0.54668677, 0.097510375, 0.43037176, 0.5025418]"
18,0.9948636404166092,1.2220914826826437,"[0.4816587, 0.48052335, 0.36683017, 0.3897243]","[0.4812936, 0.37969926, 0.37473685, 0.4166205]","[0.44216692, 0.48282042, 0.36103863, 0.4284402]","[0.5536105, 0.09786822, 0.43467644, 0.49900463]"
19,0.9441303343274225,1.1073896068785536,"[0.48545456, 0.49816385, 0.3720403, 0.39894179]","[0.48313254, 0.37857142, 0.3815, 0.4168421]","[0.44867665, 0.4949481, 0.36948094, 0.43596414]","[0.55578655, 0.0988806, 0.4380023, 0.50031585]"
