,loss,val_loss,recall,val_recall,precision,val_precision
0,1.3898927516225354,1.3802822821256187,"[0.17272727, 0.0, 0.28211588, 0.5582011]","[0.0, 0.0, 0.0, 1.0]","[0.22352941, 0.0, 0.27450982, 0.2650754]","[0.0, 0.0, 0.0, 0.32534248]"
1,1.385530557591414,1.37129907740487,"[0.086363636, 0.0, 0.29219145, 0.63756615]","[0.0, 0.0, 0.5, 0.50526315]","[0.22352941, 0.0, 0.2761905, 0.26439935]","[0.0, 0.0, 0.34602076, 0.32542372]"
2,1.3822558265916196,1.3675392577217687,"[0.09090909, 0.0, 0.44668347, 0.48412699]","[0.22891566, 0.0, 0.47333333, 0.41754386]","[0.28037384, 0.0, 0.27853402, 0.2558248]","[0.37748346, 0.0, 0.36787564, 0.35103244]"
3,1.368436819193321,1.3133282885369328,"[0.17878787, 0.0, 0.4282116, 0.45899472]","[0.34036145, 0.0, 0.51, 0.3131579]","[0.30930537, 0.0, 0.28239202, 0.26041275]","[0.39100346, 0.0, 0.37777779, 0.35103244]"
4,1.3363631178520918,1.2887901005128193,"[0.2509091, 0.0, 0.40352646, 0.46137565]","[0.426506, 0.0, 0.45, 0.33052632]","[0.33576643, 0.0, 0.28313893, 0.26971853]","[0.39954853, 0.0, 0.38395905, 0.36426914]"
5,1.3294357073394851,1.2760232491108279,"[0.28787878, 0.0014124294, 0.3711167, 0.4942681]","[0.4759036, 0.035714287, 0.39833334, 0.35438597]","[0.35315984, 0.33333334, 0.2865478, 0.27706376]","[0.41074523, 0.06521739, 0.39244664, 0.38846153]"
6,1.2892233887699234,1.248762942560845,"[0.33030304, 0.043987088, 0.35912198, 0.47467875]","[0.4870912, 0.030612245, 0.36285713, 0.4255639]","[0.37201366, 0.31594202, 0.2940483, 0.28397015]","[0.43875968, 0.06521739, 0.3956386, 0.39803094]"
7,1.2706996327518578,1.20387497820581,"[0.35757574, 0.07097457, 0.3463476, 0.48445767]","[0.4939759, 0.04464286, 0.3375, 0.47368422]","[0.38767967, 0.36216217, 0.300793, 0.2915423]","[0.45429364, 0.0877193, 0.4023845, 0.40632054]"
8,1.2511364575413921,1.1443416415299805,"[0.36127946, 0.11330822, 0.34620768, 0.48206937]","[0.51271755, 0.06349207, 0.34333333, 0.47134504]","[0.39858842, 0.3812038, 0.31150845, 0.29704764]","[0.45704058, 0.09195402, 0.4192673, 0.41718426]"
9,1.2298683568728868,1.135563107766211,"[0.37848485, 0.15903954, 0.3463476, 0.46878308]","[0.52771086, 0.057142857, 0.332, 0.49052632]","[0.40684038, 0.40503597, 0.3196931, 0.30399725]","[0.4625132, 0.082474224, 0.42564103, 0.4251825]"
10,1.1902326396795486,1.1777738795719213,"[0.39724517, 0.19363123, 0.34050837, 0.46127945]","[0.5410734, 0.103896104, 0.3318182, 0.48133972]","[0.4140109, 0.4214645, 0.32566798, 0.30880696]","[0.47182426, 0.09876543, 0.43556085, 0.43175966]"
11,1.136113381740051,1.109332496766001,"[0.40959597, 0.22857815, 0.3438287, 0.45833334]","[0.5491968, 0.13095239, 0.33666667, 0.48333332]","[0.4212987, 0.4367971, 0.33641404, 0.31663114]","[0.48066783, 0.106796116, 0.44739756, 0.43834525]"
12,1.1135776190162427,1.1836746749804459,"[0.41794872, 0.25727946, 0.35012594, 0.45726496]","[0.53846157, 0.17582418, 0.36307693, 0.46477732]","[0.42925546, 0.45053273, 0.34504488, 0.32447654]","[0.49070945, 0.11034483, 0.45869777, 0.44392884]"
13,1.0741226964897457,1.157477022629852,"[0.42142856, 0.2847054, 0.36415976, 0.45918366]","[0.535284, 0.21428572, 0.37285715, 0.46090224]","[0.43654707, 0.46353483, 0.35823008, 0.33415842]","[0.49959838, 0.113513514, 0.46816143, 0.45139912]"
14,1.0524324857636187,1.0624500441985825,"[0.4280808, 0.31129944, 0.37380353, 0.46084657]","[0.51325303, 0.22380953, 0.396, 0.46385965]","[0.44516808, 0.47527313, 0.36958328, 0.34273347]","[0.5039432, 0.11604938, 0.47105473, 0.4571231]"
15,1.0189468626052325,1.1376915950431592,"[0.43276516, 0.33598164, 0.3842884, 0.46114418]","[0.5180723, 0.24107143, 0.390625, 0.47565788]","[0.45158103, 0.4868253, 0.37939075, 0.3512152]","[0.51076466, 0.118421055, 0.48003072, 0.46139118]"
16,1.0176031179360652,1.0420633788401674,"[0.4331551, 0.3575939, 0.3944288, 0.46809834]","[0.52799433, 0.24789916, 0.40470588, 0.46563467]","[0.45762712, 0.49676824, 0.38957998, 0.36119115]","[0.5074932, 0.12090164, 0.49142858, 0.46766168]"
17,0.9499267884678748,1.0702640999522475,"[0.43703705, 0.3755493, 0.40624127, 0.47574955]","[0.52342707, 0.26587301, 0.41277778, 0.47251463]","[0.4638199, 0.50731397, 0.40063483, 0.37198344]","[0.5141354, 0.121157326, 0.5044128, 0.4727911]"
18,0.8808234175702275,0.9254936911537597,"[0.44194576, 0.39533156, 0.4186663, 0.48203844]","[0.5225111, 0.2781955, 0.43105263, 0.47922438]","[0.4712585, 0.5181216, 0.41394678, 0.38127753]","[0.521519, 0.1239531, 0.5190114, 0.48243168]"
19,0.8651473030595452,0.8392313039155044,"[0.44439393, 0.41257063, 0.43136021, 0.48994708]","[0.52590364, 0.28214285, 0.4455, 0.4931579]","[0.47784296, 0.5277326, 0.42583612, 0.39137787]","[0.52781135, 0.12660256, 0.53417265, 0.49472016]"
20,0.8127601541274861,0.9428070969646797,"[0.45122656, 0.42695722, 0.44464436, 0.49773243]","[0.5324154, 0.2857143, 0.44428572, 0.50325817]","[0.48654115, 0.53741956, 0.43895796, 0.4006693]","[0.5321101, 0.12352941, 0.54402333, 0.5037632]"
21,0.7351554911419599,0.9043026236096617,"[0.45757577, 0.44504365, 0.45683536, 0.506253]","[0.5388828, 0.29220778, 0.45772728, 0.5043062]","[0.49537727, 0.54876506, 0.45232967, 0.41053146]","[0.53594774, 0.12345679, 0.55758584, 0.513395]"
22,0.7218206122711913,0.848834260442844,"[0.4654809, 0.46069762, 0.46928048, 0.5128825]","[0.54007334, 0.29503107, 0.47652173, 0.50663614]","[0.5039943, 0.55801845, 0.4658115, 0.4196311]","[0.5412074, 0.12566137, 0.5702393, 0.51898736]"
23,0.6523658000713775,0.8618183697013537,"[0.47285354, 0.47657722, 0.48320737, 0.52127427]","[0.54769075, 0.29761904, 0.48666668, 0.5100877]","[0.5130137, 0.5687597, 0.47948346, 0.43010458]","[0.544955, 0.12706481, 0.58138376, 0.52624434]"
24,0.6778739911076765,0.7568555816446588,"[0.48181817, 0.4919774, 0.49460956, 0.5281482]","[0.55373496, 0.30285713, 0.502, 0.51621056]","[0.52165353, 0.5798375, 0.49163747, 0.43930992]","[0.55107915, 0.13022113, 0.5942235, 0.5356051]"
25,0.590452932866522,0.8718452635843501,"[0.4899767, 0.50641024, 0.5058128, 0.53601956]","[0.5620945, 0.30494505, 0.5153846, 0.5125506]","[0.5299382, 0.59022415, 0.50434697, 0.44826412]","[0.5521165, 0.13214286, 0.6036036, 0.5421842]"
26,0.5698101235088714,0.7268646180287659,"[0.49775532, 0.5205064, 0.5174923, 0.5437978]","[0.5689424, 0.3068783, 0.53074074, 0.51423]","[0.53770614, 0.6007003, 0.516721, 0.45761874]","[0.55676854, 0.13472706, 0.61344177, 0.55027115]"
